receiving_yards,depth,season,targets,team_passing_yards,team_pass_td,team_receptions,team_receiving_yards,height,weight,age,reception_td
26.0,2.0,2012,6.0,4144,30,311,4144,74.0,228.0,24,0.0
116.0,3.0,2016,10.0,3925,27,369,3925,74.0,228.0,28,1.0
12.0,2.0,2017,2.0,3716,22,316,3716,74.0,228.0,29,0.0
17.0,3.0,2019,2.0,3314,24,307,3314,74.0,215.0,22,0.0
53.0,2.0,2020,6.0,4186,25,371,4186,74.0,215.0,23,0.0
173.0,2.0,2021,22.0,3588,28,324,3578,74.0,215.0,24,2.0
207.0,2.0,2022,22.0,3855,22,398,3854,74.0,215.0,25,1.0
35.0,3.0,2018,12.0,3569,28,331,3569,77.0,228.0,21,0.0
575.0,1.0,2019,80.0,3994,23,356,3994,77.0,228.0,22,2.0
150.0,2.0,2020,22.0,3793,20,372,3793,77.0,228.0,23,0.0
39.0,2.0,2021,4.0,4806,38,384,4806,77.0,228.0,24,1.0
97.0,2.0,2018,14.0,4174,33,381,4174,73.0,195.0,25,2.0
9.0,3.0,2019,4.0,4431,36,418,4431,73.0,195.0,26,0.0
27.0,3.0,2020,4.0,3945,28,370,3945,73.0,195.0,27,1.0
6.0,2.0,2012,1.0,4374,26,339,4374,72.0,204.0,27,0.0
63.0,3.0,2013,11.0,4343,26,380,4343,72.0,204.0,28,0.0
91.0,2.0,2020,11.0,3336,13,321,3336,74.0,215.0,23,0.0
13.0,3.0,2022,4.0,3506,19,347,3506,70.0,185.0,24,0.0
29.0,1.0,2023,7.0,4300,27,361,4298,70.0,185.0,25,0.0
58.0,2.0,2012,9.0,3234,29,259,3228,73.0,204.0,29,0.0
8.0,3.0,2013,1.0,3270,19,266,3270,73.0,204.0,30,0.0
133.0,2.0,2021,20.0,4893,45,406,4893,75.0,224.0,24,0.0
376.0,2.0,2022,61.0,3506,19,347,3506,75.0,224.0,25,0.0
66.0,2.0,2023,12.0,4300,27,361,4298,75.0,224.0,26,1.0
203.0,3.0,2015,25.0,4216,22,368,4216,73.0,212.0,24,0.0
145.0,2.0,2016,24.0,3914,21,339,3914,73.0,212.0,25,2.0
350.0,2.0,2017,56.0,3668,22,332,3668,73.0,212.0,26,4.0
199.0,3.0,2018,27.0,4405,24,382,4405,73.0,212.0,27,1.0
195.0,2.0,2019,37.0,4070,34,376,4064,73.0,212.0,28,0.0
11.0,2.0,2020,6.0,3945,28,370,3945,73.0,212.0,29,0.0
21.0,2.0,2017,2.0,4607,27,378,4613,69.0,175.0,26,0.0
218.0,2.0,2023,24.0,4210,32,374,4210,71.0,189.0,24,1.0
18.0,3.0,2017,1.0,4607,27,378,4613,69.0,186.0,22,1.0
52.0,3.0,2018,5.0,5358,40,408,5358,69.0,186.0,23,0.0
35.0,2.0,2019,11.0,5127,40,382,5127,69.0,186.0,24,1.0
152.0,3.0,2012,22.0,3430,26,309,3430,74.0,213.0,29,2.0
27.0,3.0,2013,2.0,4406,33,310,4408,74.0,213.0,30,0.0
11.0,2.0,2014,3.0,4581,29,384,4581,74.0,213.0,31,0.0
37.0,2.0,2016,7.0,3313,20,312,3313,70.0,205.0,24,0.0
11.0,3.0,2016,1.0,4139,21,347,4139,69.0,197.0,23,0.0
550.0,2.0,2014,69.0,4952,37,456,4952,70.0,189.0,21,3.0
1138.0,2.0,2015,129.0,5205,34,460,5205,70.0,189.0,22,9.0
1173.0,1.0,2016,117.0,5258,41,472,5258,70.0,189.0,23,8.0
1084.0,1.0,2017,115.0,4619,34,389,4619,70.0,189.0,24,7.0
1204.0,1.0,2018,117.0,4730,33,368,4730,70.0,189.0,25,5.0
583.0,1.0,2019,73.0,4669,26,397,4669,70.0,189.0,26,2.0
1143.0,1.0,2020,119.0,4843,34,383,4821,70.0,189.0,27,6.0
1035.0,1.0,2021,134.0,3630,21,354,3630,70.0,189.0,28,6.0
699.0,1.0,2022,93.0,3642,26,352,3642,70.0,189.0,29,4.0
659.0,1.0,2023,82.0,4660,37,428,4660,70.0,189.0,30,8.0
751.0,2.0,2020,96.0,4320,28,371,4317,72.0,200.0,22,5.0
836.0,1.0,2021,86.0,4437,26,343,4429,72.0,200.0,23,5.0
1015.0,2.0,2022,114.0,4049,30,338,4049,72.0,200.0,24,8.0
1342.0,1.0,2023,105.0,4577,34,336,4577,72.0,200.0,25,7.0
454.0,2.0,2015,49.0,5205,34,460,5205,78.0,225.0,23,2.0
281.0,2.0,2016,38.0,5258,41,472,5258,78.0,225.0,24,3.0
364.0,2.0,2017,37.0,4334,24,386,4334,78.0,225.0,25,4.0
326.0,2.0,2013,43.0,3966,26,357,3966,72.0,210.0,26,4.0
